number,title,state,labels,created,failure_signature,body_contents
5101,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-01,"assert_cart_total@checkout_spec.rb:212","full stack trace, runner image, commit sha, link to run 91002"
5104,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-02,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91188"
5106,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-03,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91290"
5109,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-04,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91355"
5112,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-05,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91401; filed during the hour the search endpoint returned 403"
5113,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-05,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91409; filed during the hour the search endpoint returned 403"
5115,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-06,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91470"
5117,"CI failure: checkout_spec.rb:388 assert_refund_total",open,"bug,auto-filed,ci-failure",2026-08-07,"assert_refund_total@checkout_spec.rb:388","stack trace shows the refund ledger path, link to run 91533"
5118,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-07,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91549"
5119,"CI failure: checkout_spec.rb:401 assert_invoice_lines",open,"bug,auto-filed,ci-failure",2026-08-08,"assert_invoice_lines@checkout_spec.rb:401","stack trace shows the invoice renderer, link to run 91602"
5121,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-09,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91655"
5123,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-10,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91701"
5124,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-11,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91760"
5126,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-12,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91812"
5128,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-13,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91877"
5130,"CI failure: checkout_spec.rb:212 assert_cart_total",open,"bug,auto-filed,ci-failure",2026-08-14,"assert_cart_total@checkout_spec.rb:212","one-line failure, link to run 91930"
