run_date,dataset_version,passed,total,pass_rate,nightly_gate
2026-07-31,v4.0.0,941,1000,0.941,seed
2026-08-01,v4.0.0,940,1000,0.940,PASS
2026-08-02,v4.0.0,938,1000,0.938,PASS
2026-08-03,v4.0.0,941,1000,0.941,PASS
2026-08-04,v4.0.0,936,1000,0.936,PASS
2026-08-05,v4.0.0,937,1000,0.937,PASS
2026-08-06,v4.0.0,932,1000,0.932,PASS
2026-08-07,v4.0.0,933,1000,0.933,PASS
2026-08-08,v4.0.0,928,1000,0.928,PASS
2026-08-09,v4.0.0,926,1000,0.926,PASS
2026-08-10,v4.0.0,929,1000,0.929,PASS
2026-08-11,v4.0.0,924,1000,0.924,PASS
2026-08-12,v4.0.0,921,1000,0.921,PASS
2026-08-13,v4.0.0,919,1000,0.919,PASS
2026-08-14,v4.2.0,913,1000,0.913,PASS
2026-08-15,v4.2.0,911,1000,0.911,PASS
2026-08-16,v4.2.0,914,1000,0.914,PASS
2026-08-17,v4.2.0,908,1000,0.908,PASS
2026-08-18,v4.2.0,905,1000,0.905,PASS
2026-08-19,v4.2.0,907,1000,0.907,PASS
2026-08-20,v4.2.0,900,1000,0.900,PASS
2026-08-21,v4.2.0,898,1000,0.898,PASS
2026-08-22,v4.2.0,894,1000,0.894,PASS
2026-08-23,v4.2.0,897,1000,0.897,PASS
2026-08-24,v4.2.0,890,1000,0.890,PASS
2026-08-25,v4.2.0,887,1000,0.887,PASS
2026-08-26,v4.2.0,889,1000,0.889,PASS
2026-08-27,v4.2.0,883,1000,0.883,PASS
2026-08-28,v4.2.0,878,1000,0.878,PASS
2026-08-29,v4.2.0,876,1000,0.876,PASS
2026-08-30,v4.2.0,879,1000,0.879,PASS
2026-08-31,v4.2.0,873,1000,0.873,PASS
2026-09-01,v4.2.0,870,1000,0.870,PASS
2026-09-02,v4.2.0,865,1000,0.865,PASS
2026-09-03,v4.2.0,863,1000,0.863,PASS
2026-09-04,v4.4.0,862,1000,0.862,PASS
2026-09-05,v4.4.0,859,1000,0.859,PASS
2026-09-06,v4.4.0,861,1000,0.861,PASS
2026-09-07,v4.4.0,852,1000,0.852,PASS
2026-09-08,v4.4.0,850,1000,0.850,PASS
2026-09-09,v4.4.0,847,1000,0.847,PASS
2026-09-10,v4.4.0,844,1000,0.844,PASS
