#model_version:v2026.03.17,score_date:2026-09-12T00:00:00+0000
cve,epss,percentile
CVE-2025-21851,0.000430,0.112400
CVE-2025-49812,0.941200,0.999100
CVE-2024-38819,0.873100,0.998200
CVE-2025-31324,0.440000,0.981200
CVE-2025-1974,0.812000,0.997400
CVE-2025-27363,0.341200,0.973100
CVE-2025-22869,0.124000,0.944000
CVE-2024-56201,0.000910,0.271500
CVE-2024-45491,0.002100,0.582000
CVE-2025-46814,0.021000,0.912000
CVE-2025-30208,0.001700,0.531000
CVE-2024-45590,0.003100,0.651000
CVE-2022-25883,0.001200,0.441000
CVE-2024-28849,0.000700,0.201000
