deploy_id,kind,deployed_at,trigger,immediate_intervention
D-101,production_release,2026-07-08,planned,no
D-102,staging_push,2026-07-09,planned,no
D-104,flag_flip,2026-07-15,planned,no
D-105,production_release,2026-07-22,planned,yes
D-106,staging_push,2026-07-23,planned,no
D-109,staging_push,2026-07-30,planned,no
D-112,production_release,2026-08-05,planned,no
D-114,staging_push,2026-08-06,planned,no
D-116,flag_flip,2026-08-12,planned,no
D-118,production_release,2026-08-19,planned,no
D-119,staging_push,2026-08-20,planned,no
D-122,staging_push,2026-08-27,planned,no
D-124,production_release,2026-09-02,planned,yes
D-126,flag_flip,2026-09-02,planned,no
D-127,production_release,2026-09-03,incident,no
D-129,staging_push,2026-09-10,planned,no
D-131,staging_push,2026-09-17,planned,no
D-133,production_release,2026-09-23,planned,no
